text,fallacy_type,taxonomy_group,clean_text
"""The majority of people are voting for John Doe, so he must be the best candidate.""",ad populum,Relevance Fallacy,majority people voting john doe must best candidate
"""Your Honor, the defendant has been able to provide no strong evidence to prove his innocence; therefore, you must find him guilty.""",intentional,Clarity Fallacy,honor defendant able provide strong evidence prove innocence therefore must find guilty
gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.,faulty generalization,Presumption Fallacy,gun registration would start u sliding unconstitutional morass universal arm confiscation
"Poetry is a based on rhythm, and music is based on rhythm, so isn't poetry a kind of music?",fallacy of logic,Clarity Fallacy,poetry based rhythm music based rhythm isnt poetry kind music
"If you don’t eat breakfast, you’ll slouch in your desk. If you slouch in your desk, you’ll hurt your back. If you hurt your back, you’ll never become President. What fallacy is being committed here?",faulty generalization,Presumption Fallacy,dont eat breakfast youll slouch desk slouch desk youll hurt back hurt back youll never become president fallacy committed
"It is possible to fake the moon landing through special effects. Therefore, the moon landing was a fake using special effects.",fallacy of logic,Clarity Fallacy,possible fake moon landing special effect therefore moon landing fake using special effect
"""She's definitely a feminist; she watched the Democratic National Convention"" IS an example of this fallacy.",faulty generalization,Presumption Fallacy,shes definitely feminist watched democratic national convention example fallacy
"""The academic decathlon, Mr. Iglesias? That's a rich kid thing.""",false dilemma,Presumption Fallacy,academic decathlon mr iglesias thats rich kid thing
This is an example of which fallacy?,ad populum,Relevance Fallacy,example fallacy
There is a lot of commotion regarding saving the environment. We cannot make this world an Eden. What will happen if it does become Eden? Adam and Eve got bored there!,fallacy of relevance,Relevance Fallacy,lot commotion regarding saving environment make world eden happen become eden adam eve got bored
"If you don't pass this quiz, you will get a low grade. This will affect your score in the gradebook, you will fail Eng II. You will not graduate Highschool. You will not get a good job.",faulty generalization,Presumption Fallacy,dont pas quiz get low grade affect score gradebook fail eng ii graduate highschool get good job
Santa has a red suit. My dad has a red suit. My dad must be Santa Claus! (This is an example of...),fallacy of logic,Clarity Fallacy,santa red suit dad red suit dad must santa claus example
Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews,false causality,Presumption Fallacy,attributing cause world war ii adolf hitler hatred jew
We should stop using hairspray because it is snowing in New York.,fallacy of logic,Clarity Fallacy,stop using hairspray snowing new york
"Earl: Men don't cry
Jaquon: I cry all the time; it's healthy
Earl: Well, REAL men don't cry.
Jaquon: Earl, you should invest in some therapy.
Earl: Los hombres no lloran
Jaquon: lloro todo el tiempo; Es saludable
Earl: Bueno, los hombres REALES no lloran.
Jaquon: Earl, deberías invertir en terapia.",intentional,Clarity Fallacy,earl men dont cry jaquon cry time healthy earl well real men dont cry jaquon earl invest therapy earl los hombre lloran jaquon lloro todo el tiempo e saludable earl bueno los hombre real lloran jaquon earl deberas invertir en terapia
"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America’s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'",false causality,Presumption Fallacy,report suggests rise violent offending explosion sale ipod portable medium device coincidental asks rather provocatively icrime wave report note nationally violent crime fell every year rising america street filled million people visibly wearing distracted expensive electronic gear
